Date,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67
2014-11-03,8983.0,9060.5,9074.5,9070.0,9155.0,9174.0,9210.0,9182.5,9195.0,9204.5,9207.5,9342.0,9317.5,9329.0,9335.0,9364.0,9347.5,9352.5,9370.0,9376.0,9387.0,9385.5,9382.0,9394.5,9386.5,9381.0,9356.5,9383.0,9333.0,9349.5,9344.0,9333.5,9340.5,9334.0,9316.5,9321.5,9328.0,9338.5,9313.5,9320.5,9287.5,9244.5,9071.0,9177.5,8975.0,8830.5,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9532.5,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0
2014-11-04,9364.0,9347.5,9352.5,9370.0,9376.0,9387.0,9385.5,9382.0,9394.5,9386.5,9381.0,9356.5,9383.0,9333.0,9349.5,9344.0,9333.5,9340.5,9334.0,9316.5,9321.5,9328.0,9338.5,9313.5,9320.5,9329.0,9311.5,9361.5,9352.5,9302.5,9339.0,9315.5,9300.5,9303.5,9227.5,9222.5,9262.0,9267.0,9260.5,9269.0,9244.5,9071.0,9177.5,8975.0,8830.5,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9532.5,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0
2014-11-05,9344.0,9333.5,9340.5,9334.0,9316.5,9321.5,9328.0,9338.5,9313.5,9320.5,9329.0,9311.5,9361.5,9352.5,9302.5,9339.0,9315.5,9300.5,9303.5,9227.5,9222.5,9262.0,9267.0,9260.5,9269.0,9273.5,9295.5,9322.5,9335.0,9339.5,9341.0,9369.5,9383.5,9343.0,9344.0,9372.0,9371.0,9358.0,9363.0,9362.5,9071.0,9177.5,8975.0,8830.5,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5
2014-11-06,9339.0,9315.5,9300.5,9303.5,9227.5,9222.5,9262.0,9267.0,9260.5,9269.0,9273.5,9295.5,9322.5,9335.0,9339.5,9341.0,9369.5,9383.5,9343.0,9344.0,9372.0,9371.0,9358.0,9363.0,9362.5,9361.0,9349.5,9351.0,9335.5,9358.5,9394.0,9377.5,9508.5,9479.5,9427.5,9415.5,9429.5,9443.5,9446.5,9456.5,9177.5,8975.0,8830.5,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5
2014-11-07,9341.0,9369.5,9383.5,9343.0,9344.0,9372.0,9371.0,9358.0,9363.0,9362.5,9361.0,9349.5,9351.0,9335.5,9358.5,9394.0,9377.5,9508.5,9479.5,9427.5,9415.5,9429.5,9443.5,9446.5,9456.5,9459.0,9469.5,9451.0,9451.5,9418.5,9401.5,9393.5,9403.5,9301.0,9352.0,9340.0,9340.5,9351.5,9336.0,9337.5,8975.0,8830.5,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5
2014-11-10,9394.0,9377.5,9508.5,9479.5,9427.5,9415.5,9429.5,9443.5,9446.5,9456.5,9459.0,9469.5,9451.0,9451.5,9418.5,9401.5,9393.5,9403.5,9301.0,9352.0,9340.0,9340.5,9351.5,9336.0,9337.5,9345.5,9318.0,9360.5,9365.5,9373.0,9381.0,9375.0,9364.0,9343.0,9396.0,9402.0,9399.5,9394.5,9397.5,9394.5,8830.5,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5
2014-11-11,9401.5,9393.5,9403.5,9301.0,9352.0,9340.0,9340.5,9351.5,9336.0,9337.5,9345.5,9318.0,9360.5,9365.5,9373.0,9381.0,9375.0,9364.0,9343.0,9396.0,9402.0,9399.5,9394.5,9397.5,9394.5,9408.5,9425.0,9445.5,9443.0,9427.5,9431.5,9443.0,9429.5,9391.5,9419.5,9418.5,9412.5,9411.5,9413.0,9419.0,8791.5,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9796.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5
2014-11-12,9381.0,9375.0,9364.0,9343.0,9396.0,9402.0,9399.5,9394.5,9397.5,9394.5,9408.5,9425.0,9445.5,9443.0,9427.5,9431.5,9443.0,9429.5,9391.5,9419.5,9418.5,9412.5,9411.5,9413.0,9419.0,9421.0,9400.0,9323.0,9327.5,9366.5,9311.0,9312.5,9278.5,9282.0,9264.0,9273.5,9282.0,9286.5,9275.0,9300.0,8860.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0
2014-11-13,9431.5,9443.0,9429.5,9391.5,9419.5,9418.5,9412.5,9411.5,9413.0,9419.0,9421.0,9400.0,9323.0,9327.5,9366.5,9311.0,9312.5,9278.5,9282.0,9264.0,9273.5,9282.0,9286.5,9275.0,9300.0,9301.5,9319.0,9331.5,9356.5,9356.0,9332.5,9296.5,9255.0,9302.0,9330.0,9308.0,9312.5,9294.0,9300.5,9310.0,8691.0,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0
2014-11-14,9311.0,9312.5,9278.5,9282.0,9264.0,9273.5,9282.0,9286.5,9275.0,9300.0,9301.5,9319.0,9331.5,9356.5,9356.0,9332.5,9296.5,9255.0,9302.0,9330.0,9308.0,9312.5,9294.0,9300.5,9310.0,9311.5,9334.0,9292.0,9304.0,9283.0,9245.0,9281.5,9289.0,9296.5,9304.0,9308.5,9302.5,9302.5,9290.5,9288.5,8634.5,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0
2014-11-17,9332.5,9296.5,9255.0,9302.0,9330.0,9308.0,9312.5,9294.0,9300.5,9310.0,9311.5,9334.0,9292.0,9304.0,9283.0,9245.0,9281.5,9289.0,9296.5,9304.0,9308.5,9302.5,9302.5,9290.5,9288.5,9290.5,9197.0,9260.5,9253.5,9272.0,9292.0,9324.0,9323.0,9311.5,9370.0,9369.5,9379.5,9380.0,9380.5,9376.0,8876.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0
2014-11-18,9245.0,9281.5,9289.0,9296.5,9304.0,9308.5,9302.5,9302.5,9290.5,9288.5,9290.5,9197.0,9260.5,9253.5,9272.0,9292.0,9324.0,9323.0,9311.5,9370.0,9369.5,9379.5,9380.0,9380.5,9376.0,9372.0,9398.5,9416.5,9443.5,9476.5,9476.5,9486.0,9474.0,9510.5,9510.5,9517.0,9531.0,9534.0,9542.5,9539.0,8817.0,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9726.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0
2014-11-19,9292.0,9324.0,9323.0,9311.5,9370.0,9369.5,9379.5,9380.0,9380.5,9376.0,9372.0,9398.5,9416.5,9443.5,9476.5,9476.5,9486.0,9474.0,9510.5,9510.5,9517.0,9531.0,9534.0,9542.5,9539.0,9540.5,9521.0,9506.0,9552.0,9550.0,9551.5,9565.5,9560.5,9538.0,9515.0,9529.5,9534.5,9545.0,9534.5,9546.5,8995.5,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5
2014-11-20,9476.5,9486.0,9474.0,9510.5,9510.5,9517.0,9531.0,9534.0,9542.5,9539.0,9540.5,9521.0,9506.0,9552.0,9550.0,9551.5,9565.5,9560.5,9538.0,9515.0,9529.5,9534.5,9545.0,9534.5,9546.5,9542.5,9521.5,9480.5,9493.5,9458.0,9450.0,9463.0,9463.5,9479.0,9514.5,9543.0,9534.5,9540.0,9542.0,9538.0,8913.0,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5
2014-11-21,9551.5,9565.5,9560.5,9538.0,9515.0,9529.5,9534.5,9545.0,9534.5,9546.5,9542.5,9521.5,9480.5,9493.5,9458.0,9450.0,9463.0,9463.5,9479.0,9514.5,9543.0,9534.5,9540.0,9542.0,9538.0,9537.5,9580.5,9647.5,9663.0,9716.0,9718.5,9735.0,9744.5,9772.0,9786.5,9781.0,9755.5,9768.5,9764.5,9767.5,9088.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5
2014-11-24,9450.0,9463.0,9463.5,9479.0,9514.5,9543.0,9534.5,9540.0,9542.0,9538.0,9537.5,9580.5,9647.5,9663.0,9716.0,9718.5,9735.0,9744.5,9772.0,9786.5,9781.0,9755.5,9768.5,9764.5,9767.5,9773.5,9795.0,9825.5,9844.5,9859.5,9858.5,9851.0,9861.0,9852.0,9851.0,9835.5,9836.0,9839.5,9841.5,9867.5,9075.5,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5
2014-11-25,9718.5,9735.0,9744.5,9772.0,9786.5,9781.0,9755.5,9768.5,9764.5,9767.5,9773.5,9795.0,9825.5,9844.5,9859.5,9858.5,9851.0,9861.0,9852.0,9851.0,9835.5,9836.0,9839.5,9841.5,9867.5,9870.0,9850.0,9894.5,9926.5,9932.5,9933.5,9946.0,9967.0,9933.5,9915.0,9936.0,9938.0,9942.5,9933.0,9930.0,8985.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9796.5,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5
2014-11-26,9858.5,9851.0,9861.0,9852.0,9851.0,9835.5,9836.0,9839.5,9841.5,9867.5,9870.0,9850.0,9894.5,9926.5,9932.5,9933.5,9946.0,9967.0,9933.5,9915.0,9936.0,9938.0,9942.5,9933.0,9930.0,9924.5,9951.0,9975.5,9981.5,9980.5,9987.5,9960.0,9955.5,9976.5,9969.5,9979.0,9982.5,9983.0,9983.0,9994.5,9169.0,9148.0,9207.5,9381.0,9329.0,9273.5,9361.0,9459.0,9345.5,9408.5,9421.0,9301.5,9311.5,9290.5,9372.0,9540.5,9542.5,9537.5,9773.5,9870.0,9492.5,9244.5,8791.5,8817.0,8985.5,9329.0,9408.5,9372.0
